,twitch
2016-11-13,64
2016-11-20,64
2016-11-27,64
2016-12-04,61
2016-12-11,59
2016-12-18,65
2016-12-25,60
2017-01-01,76
2017-01-08,75
2017-01-15,88
2017-01-22,89
2017-01-29,98
2017-02-05,100
2017-02-12,78
2017-02-19,84
2017-02-26,89
2017-03-05,79
2017-03-12,74
2017-03-19,74
2017-03-26,66
2017-04-02,92
2017-04-09,74
2017-04-16,79
2017-04-23,82
2017-04-30,78
2017-05-07,79
2017-05-14,72
2017-05-21,67
2017-05-28,72
2017-06-04,69
2017-06-11,68
2017-06-18,61
2017-06-25,67
2017-07-02,87
2017-07-09,75
2017-07-16,67
2017-07-23,59
2017-07-30,66
2017-08-06,63
2017-08-13,58
2017-08-20,67
2017-08-27,63
2017-09-03,55
2017-09-10,63
2017-09-17,67
2017-09-24,65
2017-10-01,75
2017-10-08,76
2017-10-15,75
2017-10-22,61
2017-10-29,66
2017-11-05,60
2017-11-12,58
2017-11-19,54
2017-11-26,60
2017-12-03,60
2017-12-10,55
2017-12-17,59
2017-12-24,52
2017-12-31,49
2018-01-07,100
2018-01-14,97
2018-01-21,89
2018-01-28,84
2018-02-04,74
2018-02-11,79
2018-02-18,72
2018-02-25,66
2018-03-04,63
2018-03-11,74
2018-03-18,55
2018-03-25,59
2018-04-01,63
2018-04-08,55
2018-04-15,62
2018-04-22,60
2018-04-29,56
2018-05-06,70
2018-05-13,56
2018-05-20,57
2018-05-27,53
2018-06-03,57
2018-06-10,58
2018-06-17,54
2018-06-24,60
2018-07-01,53
2018-07-08,61
2018-07-15,76
2018-07-22,59
2018-07-29,60
2018-08-05,57
2018-08-12,62
2018-08-19,64
2018-08-26,68
2018-09-02,58
2018-09-09,55
2018-09-16,54
2018-09-23,52
2018-09-30,58
2018-10-07,49
2018-10-14,51
2018-10-21,47
2018-10-28,48
2018-11-04,46
2018-11-11,49
2018-11-18,35
2018-11-25,32
2018-12-02,48
2018-12-09,42
2018-12-16,46
2018-12-23,43
2018-12-30,49
2019-01-06,71
2019-01-13,57
2019-01-20,73
2019-01-27,69
2019-02-03,74
2019-02-10,66
2019-02-17,100
2019-02-24,82
2019-03-03,73
2019-03-10,70
2019-03-17,65
2019-03-24,71
2019-03-31,77
2019-04-07,83
2019-04-14,64
2019-04-21,67
2019-04-28,51
2019-05-05,75
2019-05-12,74
2019-05-19,67
2019-05-26,87
2019-06-02,82
2019-06-09,94
2019-06-16,71
2019-06-23,80
2019-06-30,83
2019-07-07,88
2019-07-14,70
2019-07-21,66
2019-07-28,81
2019-08-04,73
2019-08-11,71
2019-08-18,82
2019-08-25,79
2019-09-01,84
2019-09-08,81
2019-09-15,80
2019-09-22,65
2019-09-29,68
2019-10-06,89
2019-10-13,80
2019-10-20,68
2019-10-27,70
2019-11-03,81
2019-11-10,77
2019-11-17,85
2019-11-24,68
2019-12-01,64
2019-12-08,77
2019-12-15,53
2019-12-22,57
2019-12-29,62
