09-06,0,0,0,0,3,53,44,54,38,39,62,75
09-07,0,0,0,100,14,46,43,45,46,42,33,99
09-08,0,0,0,33,16,66,44,51,38,61,64,72
09-09,0,0,0,34,20,30,47,35,51,50,58,58
09-10,0,0,0,0,13,51,62,45,46,47,46,79
09-11,0,0,0,0,28,38,56,51,66,54,58,51
09-12,0,0,0,0,17,70,60,59,54,48,66,55
09-13,0,0,0,0,17,52,80,58,43,39,39,62
09-14,0,0,100,0,24,77,72,30,40,40,59,46
09-15,0,0,0,0,15,81,38,56,77,41,49,38
09-16,0,0,0,0,12,75,33,32,79,64,41,40
09-17,0,0,0,39,7,64,39,37,52,51,39,60
09-18,0,0,0,0,3,71,100,63,71,28,58,51
09-19,0,0,0,0,7,91,87,70,34,48,51,54
09-20,0,0,0,0,14,93,51,51,43,39,45,42
09-21,0,0,0,0,10,100,90,38,51,44,49,95
09-22,0,0,0,0,8,50,38,44,26,57,54,40
09-23,0,0,0,0,8,58,33,30,52,57,70,58
09-24,0,0,0,0,20,70,31,44,52,48,42,75
09-25,0,0,0,0,20,77,47,42,40,44,46,47
09-26,0,0,0,0,7,32,55,41,42,37,50,48
09-27,0,0,0,0,3,82,60,41,64,26,50,67
09-28,0,0,0,0,7,98,61,51,46,49,56,73
09-29,0,0,0,0,4,26,92,50,39,58,50,49
09-30,0,0,0,0,4,44,48,29,74,55,21,51
10-01,0,0,0,0,10,35,30,92,100,50,61,25
10-02,0,0,0,0,10,49,41,72,75,33,44,53
10-03,0,0,0,0,17,46,54,79,58,33,39,63
10-04,0,0,0,0,13,48,48,57,33,42,36,28
10-05,0,0,0,0,33,93,72,48,38,54,34,64
10-06,0,0,0,0,19,49,32,35,27,56,76,59
10-07,0,0,0,0,22,29,32,39,60,86,44,40
10-08,0,0,0,0,0,50,45,67,77,73,48,78
10-09,0,0,0,0,13,39,35,58,58,52,47,67
10-10,0,0,0,0,10,65,66,69,52,38,71,89
10-11,0,0,0,30,26,47,88,96,26,36,59,44
10-12,0,0,0,0,16,70,77,34,37,46,52,77
10-13,0,0,0,30,15,79,38,25,42,48,69,73
10-14,0,0,0,0,100,29,50,33,40,67,60,46
10-15,0,0,0,36,16,48,53,55,50,67,66,58
10-16,0,0,0,0,16,29,57,93,56,41,56,41
10-17,0,0,0,0,22,35,50,66,34,49,47,66
10-18,0,0,0,0,13,37,53,51,33,35,17,45
10-19,0,0,0,0,16,46,75,33,35,57,45,70
10-20,0,0,0,0,14,47,38,41,36,52,63,47
10-21,0,0,0,0,29,36,34,43,49,62,48,37
10-22,0,0,0,0,34,29,29,31,67,49,46,40
10-23,0,0,0,0,13,52,60,50,57,39,36,37
10-24,100,0,0,0,9,43,48,52,41,48,51,28
10-25,0,0,0,30,16,55,46,46,38,42,46,60
10-26,0,0,0,0,13,78,60,34,39,34,46,78
10-27,0,0,0,0,18,44,33,41,27,31,52,84
10-28,0,0,0,0,21,39,38,32,36,47,56,37
10-29,0,0,0,0,9,41,55,46,48,43,28,25
10-30,0,0,0,0,27,36,26,60,61,29,31,46
10-31,0,0,0,0,6,54,34,76,39,38,32,40
11-01,0,0,0,0,19,55,57,43,43,37,46,34
11-02,0,0,0,0,26,72,48,40,49,33,31,68
11-03,0,0,0,0,32,55,45,40,38,67,57,52
11-04,0,0,0,0,31,15,48,42,42,80,51,37
11-05,0,0,0,0,18,44,24,40,72,55,36,56
11-06,0,0,0,0,9,26,32,42,46,39,17,34
11-07,0,0,0,0,6,28,38,58,36,43,43,43
11-08,0,0,0,0,22,49,49,47,40,50,42,62
11-09,0,0,0,0,41,46,57,30,17,32,56,63
11-10,0,0,0,0,28,64,31,36,57,50,63,48
11-11,0,0,0,0,17,43,33,41,73,50,26,45
11-12,0,0,0,0,30,38,35,48,60,36,33,37
11-13,0,0,0,0,34,26,39,45,43,39,31,44
11-14,0,0,0,0,24,26,41,53,25,39,17,56
11-15,0,0,0,0,15,34,57,39,36,35,32,75
11-16,0,0,0,29,22,49,50,35,46,28,43,43
11-17,0,0,0,0,44,74,33,40,47,39,45,50
11-18,0,0,0,0,28,42,25,36,42,47,28,46
11-19,0,0,0,0,12,46,34,40,44,50,23,57
11-20,0,0,0,0,9,63,34,43,40,33,23,28
11-21,0,0,0,0,27,79,30,53,41,27,40,86
11-22,0,0,0,0,39,40,73,39,28,19,26,41
11-23,0,0,0,0,6,72,37,32,40,35,26,62
11-24,0,0,0,0,39,75,25,36,45,54,30,52
11-25,0,0,0,31,21,28,54,38,27,40,44,49
11-26,0,0,0,0,9,56,31,43,48,54,36,43
11-27,0,0,0,0,15,39,33,44,32,30,26,52
11-28,0,0,0,0,12,35,47,77,36,32,29,41
11-29,0,0,0,0,37,63,56,49,24,41,32,55
11-30,0,0,0,0,15,68,22,36,41,32,42,56
12-01,0,0,0,0,30,57,27,37,31,34,49,39
12-02,0,0,0,0,30,36,27,38,36,40,27,25
12-03,0,0,0,0,15,44,29,31,65,32,36,38
12-04,0,0,0,35,15,59,35,49,45,42,28,48
12-05,0,0,0,0,21,29,40,53,35,20,47,82
12-06,0,0,0,57,9,34,35,50,28,47,72,60
12-07,0,0,0,0,43,60,47,30,43,42,43,55
12-08,0,0,0,0,40,65,40,32,32,42,46,77
12-09,0,0,0,0,10,35,27,36,47,51,42,54
12-10,0,0,0,0,9,26,30,26,62,37,41,53
12-11,0,0,0,35,15,74,55,48,51,32,25,44
12-12,0,0,0,0,15,56,44,51,45,35,43,56
12-13,0,0,0,0,27,28,54,42,28,38,71,57
12-14,0,0,0,0,15,93,44,34,41,27,40,57
12-15,0,0,0,0,38,54,32,31,35,26,31,63
12-16,0,0,0,0,27,32,31,44,29,45,46,51
12-17,0,0,0,71,20,42,48,42,62,52,29,43
12-18,0,0,0,34,26,34,27,34,38,35,37,44
12-19,0,0,0,28,21,40,43,53,31,31,38,25
12-20,0,0,0,0,27,48,65,35,27,28,41,53
12-21,0,0,0,0,34,53,30,29,29,40,41,57
12-22,0,0,0,0,19,43,37,26,37,53,24,60
12-23,0,0,0,0,24,32,44,29,31,51,67,38
12-24,0,0,0,0,24,50,31,29,51,64,43,46
12-25,0,0,0,0,27,37,21,30,50,45,44,53
12-26,0,0,0,28,32,36,44,39,28,27,49,47
12-27,0,0,0,0,18,46,50,50,29,40,32,36
12-28,0,0,0,28,21,23,26,26,33,30,30,40
12-29,0,0,0,0,23,46,24,31,26,53,35,32
12-30,0,0,0,0,62,22,27,25,36,65,62,24
12-31,0,0,0,0,33,59,45,42,59,53,56,42
