05-16,0,21
05-17,6,45
05-18,5,45
05-19,0,24
05-20,16,35
05-21,19,66
05-22,0,15
05-23,7,32
05-24,6,43
05-25,0,63
05-26,0,32
05-27,12,94
05-28,7,16
05-29,8,57
05-30,15,52
05-31,0,22
06-01,17,57
06-02,12,22
06-03,17,35
06-04,19,61
06-05,0,64
06-06,8,20
06-07,0,21
06-08,11,77
06-09,11,22
06-10,6,24
06-11,6,35
06-12,25,15
06-13,16,10
06-14,39,0
06-15,6,42
06-16,40,22
06-17,18,11
06-18,47,66
06-19,37,65
06-20,20,42
06-21,7,22
06-22,0,78
06-23,38,33
06-24,26,24
06-25,27,53
06-26,28,53
06-27,21,68
06-28,12,58
06-29,6,36
06-30,19,62
07-01,25,30
07-02,23,7
07-03,44,7
07-04,43,13
07-05,29,33
07-06,47,14
07-07,47,28
07-08,30,28
07-09,31,22
07-10,100,28
07-11,19,44
07-12,45,36
07-13,24,18
07-14,46,19
07-15,0,14
07-16,25,37
07-17,54,18
07-18,35,53
07-19,29,17
07-20,47,14
07-21,40,60
07-22,0,18
07-23,25,28
07-24,28,21
07-25,66,22
07-26,12,18
07-27,36,18
07-28,30,14
07-29,34,43
07-30,0,29
07-31,40,21
08-01,19,36
08-02,46,23
08-03,47,9
08-04,35,28
08-05,71,100
08-06,25,82
08-07,19,33
08-08,18,21
08-09,22,55
08-10,40,26
08-11,11,28
08-12,12,36
08-13,49,35
08-14,82,41
08-15,19,34
08-16,11,31
08-17,17,36
08-18,25,22
08-19,30,30
08-20,31,14
08-21,40,40
08-22,28,26
08-23,17,9
08-24,0,68
08-25,27,87
08-26,36,38
08-27,26,56
08-28,55,54
08-29,53,37
08-30,12,42
08-31,18,43
09-01,12,16
09-02,24,45
09-03,12,0
09-04,54,47
09-05,41,48
09-06,23,22
09-07,39,36
09-08,36,32
09-09,36,29
09-10,37,90
09-11,69,50
09-12,32,35
09-13,40,35
09-14,12,45
09-15,34,9
09-16,30,29
09-17,18,62
09-18,17,43
09-19,49,39
09-20,34,13
09-21,32,27
